,services,popularity,category
1,Oil and filter changed,19541,maintenance
2,Maintenance inspection completed,18154,inspection
3,Pre-delivery inspection completed,7881,inspection
4,Tires rotated,7490,miscellaneous
5,Emissions or safety inspection performed,6207,inspection
6,Tire condition and pressure checked,6086,inspection
7,Vehicle washed/detailed,5877,detail
8,Emissions inspection performed,5015,inspection
9,Brakes checked,3828,inspection
10,Fluids checked,3766,inspection
11,Recommended maintenance performed,3512,maintenance
12,Safety inspection performed,3232,inspection
13,Battery/charging system checked,2648,assessment
14,Cabin air filter replaced/cleaned,2116,maintenance
15,Air filter replaced,2094,maintenance
16,Wiper(s) replaced,1589,maintenance
17,Tire(s) replaced,1572,maintenance
18,Tire(s) balanced,1399,maintenance
19,Four wheel alignment performed,1366,repair
20,Alignment checked,906,assessment
21,Four tires mounted,880,maintenance
22,Brake fluid flushed/changed,873,repair
23,One tire mounted,851,maintenance
24,Front wiper blades/refills replaced,829,maintenance
25,Drivability/performance checked,793,assessment
26,Four tires balanced,793,maintenance
27,Tire repaired,782,maintenance
28,Wheel locks installed,761,maintenance
29,Electrical system checked,744,assessment
30,Front brake pads replaced,720,maintenance
31,One tire balanced,659,miscellaneous
32,10,623,miscellaneous
33,Battery replaced,622,repair
34,Alignment performed,595,repair
35,Engine checked,593,assessment
36,Nitrogen fill tires,565,miscellaneous
37,Engine/powertrain computer/module checked,563,assessment
38,Tire(s) mounted,506,maintenance
39,Maintenance reminder reset,491,maintenance
40,5,488,miscellaneous
41,Steering/suspension checked,481,assessment
42,Rear brake pads replaced,469,maintenance
43,Two tires mounted,440,miscellaneous
44,Body lubricated,420,repair
45,Brakes serviced,420,repair
46,Drive belts checked,397,assessment
47,Wipers/washers checked,377,repair
48,Two tires balanced,356,miscellaneous
49,Body electrical system checked,355,assessment
50,Inspection performed,338,maintenance
51,Front brake rotor(s) replaced,308,maintenance
52,Air filter checked,307,miscellaneous
53,Rear wiper blade replaced,288,maintenance
54,One tire replaced,285,maintenance
55,Drain plug gasket replaced,276,repair
56,VIN glass etching vin etched,258,miscellaneous
57,Computer reprogrammed,256,repair
58,Rear brake rotor(s) replaced,256,maintenance
59,Anti-theft/keyless remote battery replaced,249,maintenance
60,Lights checked,244,miscellaneous
61,Wheels checked,239,assessment
62,Four tires replaced,224,maintenance
63,Computer(s) checked,222,assessment
64,Exterior lights checked,222,maintenance
65,Battery charged,217,repair
66,Tire pressure monitoring system reset,213,repair
67,Engine/powertrain computer/module reprogrammed,212,repair
68,Emission system checked,208,repair
69,Exterior trim checked,208,repair
70,Cooling system checked,205,repair
71,Brake rotor(s) resurfaced,204,maintenance
72,Antifreeze/coolant flushed/changed,201,repair
73,Light bulb(s) replaced,198,maintenance
74,Windshield washer checked,198,assessment
75,Brake pads replaced,186,maintenance
76,Wheel(s) repaired,180,repair
77,Floor mats installed,178,detail
78,Spark plug(s) replaced,176,repair
79,Rear brakes replaced,166,repair
80,Interior trim checked,165,assessment
81,Brake rotor(s) replaced,160,maintenance
82,Accessories installed,154,detail
83,Steering/suspension lubricated,150,maintenance
84,Front brake rotor(s) resurfaced,149,maintenance
85,Mud flaps/splash guards installed,144,detail
86,A/C and heating system checked,141,assessment
87,Fuel injection system flushed/serviced,141,repair
88,Two tires replaced,138,maintenance
89,Trim checked,135,assessment
90,30,132,miscellaneous
91,PCM reprogrammed,131,miscellaneous
92,Transmission fluid changed,131,miscellaneous
93,Antifreeze/coolant checked,130,miscellaneous
94,Battery serviced,125,repair
95,Front brakes replaced,122,repair
96,Throttle body cleaned/serviced,120,repair
97,Transmission checked,119,assessment
98,Interior cleaned,115,detail
99,Radio/sound system checked,115,assessment
100,15,110,miscellaneous
101,20,109,miscellaneous
102,Front license plate bracket installed/replaced,104,detail
103,Rear brakes serviced/adjusted,99,miscellaneous
104,Windshield replaced,98,repair
105,Exhaust system checked,97,assessment
106,Tire pressure monitoring system serviced,93,repair
107,Rear differential fluid flushed/changed,87,maintenance
108,Two wheel alignment performed,85,repair
109,Fuel system checked,80,assessment
110,Key(s) (re) programmed,79,miscellaneous
111,A/C refrigerant recharged,78,repair
112,Engine/powertrain computer/module replaced,76,repair
113,Transmission fluid flushed,76,maintenance
114,A/C system checked,75,assessment
115,Rear brake rotor(s) resurfaced,71,maintenance
116,Anti-theft/keyless device/alarm installed,70,detail
117,Tire valve stem(s)/core(s) replaced,70,repair
